iso3,country_name,year,region,classification,paper_case_group,case_china_benchmark,case_resilient_sovereign,case_sri_lanka_anchor,case_high_debt_resilient,case_resource_conversion,case_strategic_conversion,case_strategic_transition,case_vulnerability_trap,case_geoeconomic_pressure,case_creditor_conversion,case_reform_case,legitimacy_score,weather_buffers_score,terrain_productive_capacity_score,command_state_capacity_score,doctrine_fiscal_framework_score,track_record_score,conversion_capacity_score,resilience_score,scorecard_mean_8,gdp_growth,gdp_current_usd,gdp_per_capita_current_usd,inflation_cpi,current_account_gdp,exports_gdp,imports_gdp,gross_capital_formation_gdp,manufacturing_value_added_gdp,tax_revenue_gdp,central_gov_debt_gdp,external_debt_gni,debt_service_exports,short_term_debt_reserves,reserves_months_imports,remittances_gdp,tourism_receipts_gdp,fuel_imports_merch_imports,food_imports_merch_imports,government_effectiveness,control_corruption,rule_of_law,political_stability,regulatory_quality,voice_accountability,disaster_event,disaster_damage_gdp,default_event,banking_crisis,imf_program_active,currency_depreciation,currency_crisis,inflation_surge,output_loss_3yr,P_productive_capacity,R_resilience_buffers,L_fiscal_legitimacy,M_fiscal_manoeuvrability,C_conversion_capacity,V_safe_vulnerability,SFRI_equal_weight,SFRI_weighted,NCS_5yr,DCR_5yr
USA,United States,1990,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,1991,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,1992,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,1993,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,1994,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,1995,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,1996,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,1997,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,1998,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,1999,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,2000,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,2001,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,2002,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,2003,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,2004,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,2005,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,2006,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,2007,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,2008,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,2009,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,2010,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,2011,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,2012,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,2013,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,2014,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,2015,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,2016,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,2017,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,2018,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,2019,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,2020,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,2021,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,2022,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,2023,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,2024,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,2025,North America,High-power high-exposure,high_debt_resilient,0,0,0,1,0,0,0,0,0,0,0,3,4,5,4,3,5,5,4,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1980,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1981,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1982,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1983,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1984,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1985,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1986,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1987,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1988,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1989,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1990,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1991,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1992,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1993,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1994,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1995,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1996,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1997,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1998,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1999,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,2000,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,2001,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,2002,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,2003,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,2004,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,2005,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,2006,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,2007,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,2008,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,2009,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,2010,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,2011,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,2012,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,2013,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,2014,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,2015,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,2016,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,2017,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,2018,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,2019,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,2020,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,2021,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,2022,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,2023,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,2024,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,2025,North America,Resilient advanced sovereign,resilient_sovereign,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,1980,Latin America & Caribbean,High-terrain medium-command sovereign,strategic_transition,0,0,0,0,0,0,1,0,0,0,0,3,3,5,3,3,3,4,3,3.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,1981,Latin America & Caribbean,High-terrain medium-command sovereign,strategic_transition,0,0,0,0,0,0,1,0,0,0,0,3,3,5,3,3,3,4,3,3.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,1982,Latin America & Caribbean,High-terrain medium-command sovereign,strategic_transition,0,0,0,0,0,0,1,0,0,0,0,3,3,5,3,3,3,4,3,3.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,1983,Latin America & Caribbean,High-terrain medium-command sovereign,strategic_transition,0,0,0,0,0,0,1,0,0,0,0,3,3,5,3,3,3,4,3,3.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,1984,Latin America & Caribbean,High-terrain medium-command sovereign,strategic_transition,0,0,0,0,0,0,1,0,0,0,0,3,3,5,3,3,3,4,3,3.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,1985,Latin America & Caribbean,High-terrain medium-command sovereign,strategic_transition,0,0,0,0,0,0,1,0,0,0,0,3,3,5,3,3,3,4,3,3.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,1986,Latin America & Caribbean,High-terrain medium-command sovereign,strategic_transition,0,0,0,0,0,0,1,0,0,0,0,3,3,5,3,3,3,4,3,3.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,1987,Latin America & Caribbean,High-terrain medium-command sovereign,strategic_transition,0,0,0,0,0,0,1,0,0,0,0,3,3,5,3,3,3,4,3,3.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,1988,Latin America & Caribbean,High-terrain medium-command sovereign,strategic_transition,0,0,0,0,0,0,1,0,0,0,0,3,3,5,3,3,3,4,3,3.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,1989,Latin America & Caribbean,High-terrain medium-command sovereign,strategic_transition,0,0,0,0,0,0,1,0,0,0,0,3,3,5,3,3,3,4,3,3.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,1990,Latin America & Caribbean,High-terrain medium-command sovereign,strategic_transition,0,0,0,0,0,0,1,0,0,0,0,3,3,5,3,3,3,4,3,3.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,1991,Latin America & Caribbean,High-terrain medium-command sovereign,strategic_transition,0,0,0,0,0,0,1,0,0,0,0,3,3,5,3,3,3,4,3,3.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,1992,Latin America & Caribbean,High-terrain medium-command sovereign,strategic_transition,0,0,0,0,0,0,1,0,0,0,0,3,3,5,3,3,3,4,3,3.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,1993,Latin America & Caribbean,High-terrain medium-command sovereign,strategic_transition,0,0,0,0,0,0,1,0,0,0,0,3,3,5,3,3,3,4,3,3.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
